红色食品,适宜人群,全部人群
奥林匹克运动会,标志,奥运五环
奥林匹克运动会,奥委会驻地,瑞士洛桑
多线染色体,类别,巨大染色体
百度新闻,主办方,百度公司
海伦公式,别称,三斜求积术
海伦公式,提出者,阿基米德
海伦公式,应用学科,数学几何
劳燕分飞,近义词,分道扬镳
条件反射,别称,巴甫洛夫条件反射
条件反射,提出者,巴甫洛夫
穆德哈尔式,地址,图里亚河
吕氏春秋,类别,先秦诸子
麻雀战法,类型,游击战法
有源滤波,用途,主要用于低频范围
竹叶青蛇,中文学名,竹叶青蛇
竹叶青蛇,亚门,脊椎动物亚门
竹叶青蛇,亚纲,双孔亚纲
百度音乐,类型,免费音乐服务
百度音乐,原名,千千静听
妊娠反应,别称,早孕反应
二进制数,作用,逻辑运算
阿司匹林,药品名称,阿司匹林
阿司匹林,是否处方药,非处方药
阿司匹林,药品类型,解热镇痛药
非嵌入式芯片,对比,嵌入式芯片
非嵌入式芯片,应用领域,信息通信
前端总线频率,定义,一组传输线
内存双通道,要求,两个内存控制器
硬盘分区表,方式,文件记录
贵州民族大学,类别,公立大学
贵州民族大学,属性,省部共建大学
双核处理器,目的,提高计算能力
后摩尔时代,地点,位于西班牙东北部
河姆渡遗址,类型,新石器时代遗址
河姆渡遗址,所属地区,中国华东
河姆渡遗址,气候,亚热带季风气候
具像艺术,类别,艺术类型
广场意识,性质,乌托邦意识
广场意识,特点,人类生活单一
矢野浩二,常住地,中国北京
吉尔伽美什史诗,文学体裁,英雄史诗
百度音乐,类型,免费音乐服务
百度音乐,原名,千千静听
魔幻现实派,分类,文学流派
魔幻现实派,区域,拉丁美洲
独立厂牌,起源,二战结束后
独立厂牌,概念,艺术先锋
声带小节,类型,慢性喉炎
声带小节,常见,职业用嗓者
迷幻音乐,原理,英式音乐
迷幻音乐,所属大类,摇滚音乐
节奏蓝调,含义,音乐风格
节奏蓝调,别称,节奏布鲁斯
节奏蓝调,含义,音乐风格
节奏蓝调,别称,节奏布鲁斯
杯椎鱼龙,中文学名,杯椎鱼龙
迷你专辑,含义,收录歌曲少的专辑
新世纪音乐,别称,新纪元音乐
穿普拉达的女王,拍摄地点,法国巴黎
液晶显示器,特点,功耗很低
液晶显示器,领域,电子科技产品
糖醋鲤鱼,口味,酸甜可口
北京大学,类别,公立大学
北京大学,发展定位,世界一流大学
金刚鹦鹉,中文学名,金刚鹦鹉
金刚鹦鹉,亚门,脊椎动物亚门
金刚鹦鹉,亚纲,今鸟亚纲
博客营销,定义,营销方式
电子邮件广告,性质,网络广告形式
电子邮件,属性,网络应用
远古时代,别称,上古时代传说时代
远古时代,类属,古史分期
珞珈撷英,释义,用于形容人
虚拟存储,领域,计算机操作系统
百慕大三角,别名,魔鬼三角
即时通讯,分类,应用软件
即时通讯,又名,实时通讯
北方交通大学,简称,北方交大
北方交通大学,类别,公立大学
交通大学,类别,公立大学
交通大学,属性,全国重点大学
半坡文化,所属区域,黄河中游地区
半坡文化,发现地,陕西西安市半坡村
清华大学,类别,公立大学
复旦大学,类别,公立大学
电视散文,表现形式,电视艺术
河姆渡文化,所属年代,新石器时代
淋巴组织,属性,免疫系统
淋巴组织,别称,免疫组织
围绝经期综合征,别称,更年期综合征
鸦儿胡同小学,类别,公立小学
鸦儿胡同小学,所属地区,中国北京
灵山大佛,行政区类别,江苏省无锡市
灵山大佛,所属地区,中国华东
灵山大佛,气候条件,亚热带季风气候
灵山大佛,组成部分,灵山景区
虚拟社区,背景,计算机网络
虚拟社区,命名,瑞格尔德
荔波大小七孔,别名,荔波七小孔
荔波大小七孔,行政区类别,贵州荔波
荔波大小七孔,所属地区,中国西南
荔波大小七孔,政府驻地,玉屏街道红船社区
荔波大小七孔,地理位置,贵州西南部
荔波大小七孔,地貌,中国喀斯特
黔灵公园,气候类型,高原亚热带气候
凤凰古城,气候类型,亚热带季风气候
凤凰古城,方言,凤凰土语
南方都市报,主管单位,南方日报报业集团
南方都市报,主办单位,南方报业传媒集团
南方都市报,发行方式,零售或订阅
花溪公园,美誉,高原明珠
花溪公园,所属城市,贵州省贵阳市
抽水马桶,出现时代,伊丽莎白一世时代
抽水马桶,原理,水的重力
遵义会议会址,所在地区,贵州省遵义市
遵义会议会址,主要景点,遵义会议会议室
国际贸易,相关专业,国际贸易专业
国际贸易,别称,世界贸易
三潭印月,气候类型,亚热带季风性气候
三潭印月,所属城市,浙江省杭州市
洛阳水席,头道菜,牡丹燕菜
黄果树风景名胜区,气候类型,气候亚热带季风
黄果树风景名胜区,著名景点,黄果树瀑布
黄果树风景名胜区,所属城市,贵州省安顺市
维基百科,公司名称,维基百科
维基百科,经营范围,在线百科全书
维基百科,公司口号,自由的百科全书
龙舌兰酒,别名,特基拉酒
龙舌兰酒,出现时间,西元三世纪
北京大爷,作品名称,北京大爷
北京大爷,作品出处,北京人民艺术剧院
百科全书,解释,一种大型参考书
百科全书派,作者,部分启蒙思想家
北京人民艺术剧院,所属地区,中国北京
布达拉宫,始建造者,松赞干布
布达拉宫,文化价值,世界文化遗产
布达拉宫,所属城市,西藏自治区拉萨市
开门七件事,性质,生活必需品
开门七件事,部分,中国饮食文化
网络电话,声电转换,电陶瓷等装置
阿莫西林,药品名称,阿莫西林
阿莫西林,别名,羟氨苄青霉素
阿莫西林,主要适用症,细菌感染
三教九流,类别,词语解释
香港青马大桥,著名景点,青马大桥
香港青马大桥,建造用途,公铁两用
自由职业,主要工作,个体劳动
自由职业,优点,不用看老板脸色
可视电话,解释,一种通信方式
可视电话,分类,静态和动态
朝九晚五,所属,社会文化
五一国际劳动节,节日时间,每年五月一日
五一国际劳动节,节日类型,国际节日
五一国际劳动节,设立机构,第二国际
开放源代码,应用学科,计算机科学与技术
普鲁士蓝,水溶性,不溶于水
国际足联世界杯,举办时间,四年一届
国际足联世界杯,举办地点,投票表决
国际足联世界杯,主办机构,国际足球联合会
厄尔尼诺暖流,别称,圣婴现象
厄尔尼诺暖流,位于,南太平洋东部
厄尔尼诺暖流,属于,气候环境
膝跳反应,别称,膝跳反应
膝跳反应,属性,反射类型之一
新石器时代,时代标志,磨制石器
龙门石窟,气候类型,温带季风气候
龙门石窟,保护等级,世界文化遗产
龙门石窟,所属城市,河南省洛阳市
参差荇菜,释义,长短不齐的样子
白色污染,分类,环境污染
白色污染,对象,难降解的塑料垃圾
白色污染,主指,乱丢弃的塑料垃圾
哥德巴赫猜想,提出者,哥德巴赫
黄金分割,提出者,毕达哥拉斯
司法制度,主要机构,司法机关
司法制度,类别,人民司法制度体系
社会团体,附属,业务主管部门之下
社会团体,属性,社会组织
天安门广场,气候类型,温带季风气候
面宽进深比,含义,面宽和进深的比值
面宽进深比,特点,不宜过大
京九铁路,线路性质,双线电气化铁路
京九铁路,起点,北京西站
京九铁路,终点,香港九龙红磡站
星际争霸,其他名称,星海争霸
星际争霸,开发商,暴雪娱乐
星际争霸,发行商,暴雪娱乐
麦金塔计算机,时间,一九八四年一月
麻省理工学院,类别,私立研究型大学
麻省理工学院,所属联盟,美国大学协会
唯美主义,重大事件,王尔德入狱
上善若水,创作年代,春秋时期
博思考试,汉语意译,剑桥职业外语考试
联想集团,公司名称,联想集团
联想集团,总部地点,中国北京
联想集团,公司性质,上市公司
新木乃伊,其它译名,新盗墓迷城
新木乃伊,出品公司,环球影业
新木乃伊,发行公司,环球影业
五芳斋汤圆,介绍,武汉名小吃之一
黑色星期五,意义,美国圣诞大采购日
归元禅寺,气候类型,亚热带季风气候
归元禅寺,现任住持,隆印法师
沔阳三蒸,产地,湖北沔阳
龙与地下城,游戏类型,桌上角色扮演
龙与地下城,内容主题,角色扮演
施华洛世奇,产品,人造水晶
武汉东湖风景区,别名,武汉东湖
武汉东湖风景区,所属地区,中国武汉
武汉东湖风景区,地理位置,武汉市东部
武汉东湖风景区,气候条件,亚热带季风气候
武汉东湖风景区,机场,武汉天河国际机场
武汉东湖风景区,所属城市,湖北省武汉市
伊壁鸠鲁悖论,提出人,伊壁鸠鲁
自由意志,目的,表达自由思维
快门延迟,类别,相机拍摄
涿鹿之战,名称,涿鹿之战
涿鹿之战,结果,炎黄部族获得胜利
涿鹿之战,参战方兵力,势均力敌
涿鹿之战,伤亡情况,蚩尤部落大部阵亡
涿鹿之战,场面,非常激烈
涿鹿之战,战胜方,炎黄部落
涿鹿之战,战败方,蚩尤部落
西湖龙井,产地,浙江省杭州市
启蒙运动,指导思想,理性主义
穆罕默德,民族,阿拉伯人
穆罕默德,职业,伊斯兰先知
穆罕默德,信仰,伊斯兰教
穆罕默德,主要成就,统一阿拉伯半岛
数码单反相机,性质,影相设备
河姆渡遗址,类型,新石器时代遗址
河姆渡遗址,所属地区,中国华东
河姆渡遗址,气候,亚热带季风气候
释迦牟尼,教化区域,古代印度恒河流域
斯巴鲁翼豹,品牌,斯巴鲁翼豹
仙剑奇侠传,游戏类型,角色扮演游戏
仙剑奇侠传,所属系列,仙剑奇侠传
夫妻肺片,发源地,四川成都
普利策奖,奖项性质,新闻类荣誉奖项
普利策奖,奖项性质,新闻类荣誉奖项
普利策奖,奖项性质,新闻类荣誉奖项
普利策奖,奖项性质,新闻类荣誉奖项
普利策奖,奖项性质,新闻类荣誉奖项
斯巴鲁翼豹,品牌,斯巴鲁翼豹
理性情绪理论,进行,畸形的思维
路易威登,创始人,路易威登先生
路易威登,创始人,路易威登先生
人本主义理论,类型,美国当代心理学
精神分析理论,内容,阐述人的精神活动
承天寺塔,地理位置,银川市兴庆区
石空寺石窟,所属地区,西北地区
山顶洞人,中文学名,山顶洞人
山顶洞人,亚门,脊椎动物亚门
山顶洞人,亚纲,真兽亚纲
山顶洞人,亚目,简鼻亚目
山顶洞人,亚种,山顶洞人
山顶洞人,分布区域,亚洲东部
雅鲁藏布江,别称,央恰布藏布
乌鲁木齐,所属地区,中国西北
乌鲁木齐,气候条件,温带大陆性气候
乌鲁木齐,最高建筑,中天广场
茶马古道,著名景点,茶马古道重镇
茶马古道,所处时代,唐至民国
旧石器时代,性质,时间区段
旧石器时代,标志,使用打制石器
世界乒乓球锦标赛,发源地点,英国伦敦
世界乒乓球锦标赛,主办单位,国际乒乓球联合会
世界知识产权日,设立机构,世界知识产权组织
大禹治水,所处时代,中国三皇五帝时期
大禹治水,地点,黄河流域
大理白族自治州,政府驻地,大理市下关镇
大理白族自治州,地理位置,云南省中部偏西
大理白族自治州,机场,大理机场
天下第一,拍摄地点,中国大陆
仙剑奇侠传,游戏类型,角色扮演
仙剑奇侠传,所属系列,仙剑奇侠传
仙剑奇侠传,发行商,大宇资讯
开国大典,简称,开国大典
开国大典,地点,北京天安门
福建农林大学,简称,福建农大
福建农林大学,类别,公立大学
福建农林大学,属性,省部共建高校
工业设计,类别,工科机械类
山东大学,类别,公立大学
瓦伦西亚,别名,巴伦西亚
瓦伦西亚,政府驻地,瓦伦西亚市
瓦伦西亚,方言,西班牙语
瓦伦西亚,气候条件,地中海气候
瓦伦西亚,机场,马尼塞斯机场
佛罗伦萨,所属地区,意大利托斯卡纳区
佛罗伦萨,地理位置,意大利中部
佛罗伦萨,方言,佛罗伦萨方言
佛罗伦萨,气候条件,亚热带地中海气候
佛罗伦萨,机场,佩雷托拉机场
佛罗伦萨,火车站,新圣母车站
佛罗伦萨,主保圣人,施洗约翰
佛罗伦萨,语言,意大利语
切尔西足球俱乐部,中文队名,切尔西足球俱乐部
切尔西足球俱乐部,所属地区,英国伦敦
切尔西足球俱乐部,主场馆,斯坦福桥球场
切尔西足球俱乐部,训练基地,科巴姆训练基地
切尔西足球俱乐部,球衣广告,优科豪马橡胶
西伯利亚雪橇犬,中文学名,西伯利亚雪橇犬
西伯利亚雪橇犬,亚门,脊椎动物亚门
西伯利亚雪橇犬,亚纲,真兽亚纲
西伯利亚雪橇犬,亚目,裂脚亚目
西伯利亚雪橇犬,原始用途,雪地雪橇犬
纽卡斯尔,别名,纽卡斯尔
纽卡斯尔,地理位置,英格兰东北
纽卡斯尔,气候条件,温带海洋性气候
纽卡斯尔,著名景点,泰恩河千禧桥
纽卡斯尔,机场,纽卡斯尔机场
纽卡斯尔,火车站,纽卡斯尔火车站
萨摩耶犬,中文学名,萨摩耶犬
萨摩耶犬,亚门,脊椎动物亚门
萨摩耶犬,亚纲,真兽亚纲
萨摩耶犬,亚目,裂脚亚目
萨摩耶犬,分布区域,西伯利亚
萨摩耶犬,智商,中等偏上
利物浦足球俱乐部,中文队名,利物浦足球俱乐部
利物浦足球俱乐部,所属地区,英格兰利物浦
利物浦足球俱乐部,主场馆,安菲尔德球场
利物浦足球俱乐部,拥有者,芬威体育集团
利物浦足球俱乐部,训练场,梅尔伍德
利物浦足球俱乐部,球衣广告,渣打银行
阿森纳足球俱乐部,中文队名,阿森纳足球俱乐部
阿森纳足球俱乐部,主场馆,酋长球场
阿森纳足球俱乐部,球衣广告,阿联酋航空
苏格兰牧羊犬,中文学名,苏格兰牧羊犬
苏格兰牧羊犬,别称,柯利牧羊犬
苏格兰牧羊犬,亚门,脊椎动物亚门
苏格兰牧羊犬,亚纲,真兽亚纲
